instance,set,best_patched,best_baseline,best_delta,gap_patched_%,gap_baseline_%,seeds_improved,seeds_equal,seeds_worse,violations
i01,dev,4032,4047,-15,4.95,5.34,4,0,1,0
i02,dev,1385,1444,-59,9.57,14.24,5,0,0,0
i03,held-out,10575,10605,-30,0.81,1.1,1,1,3,0
i04,held-out,2033,2021,12,7.91,7.27,4,0,1,0
i05,held-out,12935,12903,32,1.37,1.12,1,0,4,0
i06,held-out,10693,10696,-3,0.21,0.23,1,0,4,0
i07,held-out,5550,5530,20,10.43,10.03,2,0,3,0
i08,held-out,6938,6929,9,10.28,10.14,0,0,5,0
i09,held-out,7072,7150,-78,5.84,7.0,4,0,1,0
i10,held-out,21540,21525,15,3.46,3.39,0,1,4,0
i11,held-out,25967,25966,1,0.11,0.11,1,1,3,0
i12,held-out,13576,13453,123,9.22,8.23,0,0,5,0
i13,held-out,17848,17979,-131,3.0,3.76,2,2,1,0
i14,held-out,10085,10011,74,3.48,2.72,1,0,4,0
i15,held-out,13434,13451,-17,7.59,7.73,3,0,2,0
i16,held-out,11517,11485,32,13.59,13.28,2,0,3,0
i17,dev,47675,47970,-295,17.61,18.34,4,0,1,0
i18,held-out,37853,37903,-50,0.51,0.65,3,0,2,0
i19,held-out,48342,49544,-1202,8.42,11.12,5,0,0,0
i20,held-out,30075,30098,-23,3.36,3.44,3,2,0,0
i21,dev,28273,28011,262,14.45,13.39,3,0,2,0
i22,held-out,53050,53380,-330,10.84,11.53,2,0,3,0
i23,held-out,39284,39230,54,4.62,4.47,3,0,2,0
i24,held-out,34488,34476,12,3.81,3.78,3,0,2,0
i25,held-out,12486,12322,164,8.41,6.99,2,0,3,0
i26,held-out,70802,71048,-246,9.58,9.96,3,0,2,0
i27,held-out,61978,62222,-244,19.58,20.05,4,0,1,0
i28,held-out,76170,76176,-6,1.33,1.34,1,0,4,0
i29,dev,13986,14287,-301,12.11,14.53,4,0,1,0
i30,held-out,39922,40597,-675,5.22,6.99,5,0,0,0
