instance,baseline_best,real_best,placebo_best,real_delta,placebo_delta
i03,10605,10575,10560,-30,-45
i04,2021,2033,2043,12,22
i05,12903,12935,12935,32,32
i06,10696,10693,10693,-3,-3
i07,5530,5550,5630,20,100
i08,6929,6938,6744,9,-185
i09,7150,7072,7031,-78,-119
i10,21525,21540,21540,15,15
i11,25966,25967,25967,1,1
i12,13453,13576,13337,123,-116
i13,17979,17848,18000,-131,21
i14,10011,10085,10085,74,74
i15,13451,13434,13476,-17,25
i16,11485,11517,11517,32,32
i18,37903,37853,37853,-50,-50
i19,49544,48342,48285,-1202,-1259
i20,30098,30075,30086,-23,-12
i22,53380,53050,53050,-330,-330
i23,39230,39284,39284,54,54
i24,34476,34488,34459,12,-17
i25,12322,12486,12470,164,148
i26,71048,70802,70709,-246,-339
i27,62222,61978,62428,-244,206
i28,76176,76170,76170,-6,-6
i30,40597,39922,39826,-675,-771
