instance,seed,arm,objective,violations,RoomAgeMix,RoomSkillLevel,ContinuityOfCare,ExcessiveNurseWorkload,OpenOperatingTheater,SurgeonTransfer,PatientDelay,ElectiveUnscheduledPatients
i01,1,placebo,4032,0,40,410,132,20,240,0,390,2800
i01,1,real,4032,0,40,410,132,20,240,0,390,2800
i01,2,placebo,4087,0,5,500,132,20,240,0,390,2800
i01,2,real,4087,0,5,500,132,20,240,0,390,2800
i01,3,placebo,4068,0,25,460,133,20,240,0,390,2800
i01,3,real,4068,0,25,460,133,20,240,0,390,2800
i01,4,placebo,4090,0,30,470,130,30,240,0,390,2800
i01,4,real,4090,0,30,470,130,30,240,0,390,2800
i01,5,placebo,4087,0,5,500,132,20,240,0,390,2800
i01,5,real,4087,0,5,500,132,20,240,0,390,2800
i02,1,placebo,1417,0,15,205,232,10,240,0,715,0
i02,1,real,1423,0,15,245,233,20,240,0,670,0
i02,2,placebo,1415,0,30,230,230,40,240,0,645,0
i02,2,real,1422,0,25,240,227,0,240,0,690,0
i02,3,placebo,1394,0,15,215,229,0,240,0,695,0
i02,3,real,1391,0,15,220,226,0,240,0,690,0
i02,4,placebo,1425,0,15,275,240,50,240,0,605,0
i02,4,real,1385,0,10,200,230,0,240,0,705,0
i02,5,placebo,1439,0,15,225,224,50,240,0,685,0
i02,5,real,1396,0,20,235,226,10,240,0,665,0
i03,1,placebo,10665,0,75,190,675,15,400,0,1710,7600
i03,1,real,10665,0,75,190,675,15,400,0,1710,7600
i03,2,placebo,10640,0,60,180,675,15,400,0,1710,7600
i03,2,real,10640,0,60,180,675,15,400,0,1710,7600
i03,3,placebo,10600,0,35,170,670,15,400,0,1710,7600
i03,3,real,10575,0,20,175,660,10,400,0,1710,7600
i03,4,placebo,10560,0,10,145,665,15,400,0,1725,7600
i03,4,real,10665,0,75,190,675,15,400,0,1710,7600
i03,5,placebo,10640,0,60,150,695,25,400,0,1710,7600
i03,5,real,10665,0,75,190,675,15,400,0,1710,7600
i04,1,placebo,2156,0,110,178,338,90,300,0,1140,0
i04,1,real,2087,0,140,203,354,175,300,0,915,0
i04,2,placebo,2075,0,185,188,342,155,260,0,945,0
i04,2,real,2105,0,220,183,347,145,280,0,930,0
i04,3,placebo,2081,0,180,191,345,150,300,0,915,0
i04,3,real,2045,0,130,180,345,120,280,0,990,0
i04,4,placebo,2043,0,135,220,338,180,300,0,870,0
i04,4,real,2141,0,250,181,355,170,300,0,885,0
i04,5,placebo,2145,0,245,195,345,175,300,0,885,0
i04,5,real,2033,0,95,195,348,150,300,0,945,0
i05,1,placebo,13047,0,145,130,352,20,480,0,3420,8500
i05,1,real,13047,0,145,130,352,20,480,0,3420,8500
i05,2,placebo,13068,0,185,130,343,10,480,0,3420,8500
i05,2,real,13068,0,185,130,343,10,480,0,3420,8500
i05,3,placebo,12999,0,110,130,349,10,480,0,3420,8500
i05,3,real,12999,0,110,130,349,10,480,0,3420,8500
i05,4,placebo,13008,0,110,140,348,10,480,0,3420,8500
i05,4,real,13007,0,100,140,347,20,480,0,3420,8500
i05,5,placebo,12935,0,60,120,355,0,480,0,3420,8500
i05,5,real,12935,0,60,120,355,0,480,0,3420,8500
i06,1,placebo,10711,0,18,54,249,0,240,0,250,9900
i06,1,real,10711,0,18,54,249,0,240,0,250,9900
i06,2,placebo,10697,0,14,47,246,0,240,0,250,9900
i06,2,real,10697,0,14,47,246,0,240,0,250,9900
i06,3,placebo,10703,0,17,50,246,0,240,0,250,9900
i06,3,real,10703,0,17,50,246,0,240,0,250,9900
i06,4,placebo,10713,0,27,49,247,0,240,0,250,9900
i06,4,real,10713,0,27,49,247,0,240,0,250,9900
i06,5,placebo,10693,0,18,46,239,0,240,0,250,9900
i06,5,real,10693,0,18,46,239,0,240,0,250,9900
i07,1,placebo,5756,0,295,1010,2505,245,360,1,1340,0
i07,1,real,5550,0,165,920,2525,170,360,0,1410,0
i07,2,placebo,5630,0,235,1030,2420,215,360,0,1370,0
i07,2,real,5781,0,240,1140,2490,230,360,1,1320,0
i07,3,placebo,5711,0,125,1130,2465,180,360,1,1450,0
i07,3,real,5911,0,350,1070,2470,350,360,1,1310,0
i07,4,placebo,5785,0,135,1090,2565,305,360,0,1330,0
i07,4,real,5741,0,320,1020,2520,200,360,1,1320,0
i07,5,placebo,6006,0,340,1120,2465,410,360,1,1310,0
i07,5,real,5825,0,280,1150,2490,195,360,0,1350,0
i08,1,placebo,6995,0,665,20,1164,966,1760,50,2370,0
i08,1,real,7063,0,560,10,1109,974,1800,70,2540,0
i08,2,placebo,6890,0,615,40,1136,949,1800,60,2290,0
i08,2,real,6938,0,425,10,1120,883,1760,50,2490,200
