instance,arm,load_cost,scarce_cost,spread_cost
i01,real,0,30,0
i01,placebo,0,30,0
i02,real,0,45,0
i02,placebo,0,45,0
i03,real,0,10,0
i03,placebo,0,10,0
i04,real,0,16,0
i04,placebo,0,16,0
i05,real,0,60,0
i05,placebo,0,40,0
i06,real,0,12,0
i06,placebo,0,12,0
i07,real,0,250,0
i07,placebo,0,240,0
i08,real,0,180,0
i08,placebo,0,160,0
i09,real,0,16,0
i09,placebo,0,18,0
i10,real,0,30,0
i10,placebo,0,25,0
i11,real,0,17,0
i11,placebo,0,16,0
i12,real,0,190,0
i12,placebo,0,210,0
i13,real,0,24,0
i13,placebo,0,27,0
i14,real,0,25,0
i14,placebo,0,26,0
i15,real,0,100,0
i15,placebo,0,100,0
i16,real,0,160,0
i16,placebo,0,160,0
i17,real,0,120,0
i17,placebo,0,110,0
i18,real,0,11,0
i18,placebo,0,9,0
i19,real,0,110,0
i19,placebo,0,80,0
i20,real,0,250,0
i20,placebo,0,240,0
i21,real,0,135,0
i21,placebo,0,135,0
i22,real,0,19,0
i22,placebo,0,20,0
i23,real,0,260,0
i23,placebo,0,240,0
i24,real,0,22,0
i24,placebo,0,19,0
i25,real,0,13,0
i25,placebo,0,12,0
i26,real,0,34,0
i26,placebo,0,37,0
i27,real,0,460,0
i27,placebo,0,500,0
i28,real,0,140,0
i28,placebo,0,145,0
i29,real,0,58,0
i29,placebo,0,60,0
i30,real,0,440,0
i30,placebo,0,420,0
