instance,side,nurses_per_patient,stay_overlap,patients_per_used_room,occupied_room_days,workload_peak_ratio,workload_mean_ratio,top_rooms_per_top_nurse_day,optionals_admitted,mean_delay,S2,S3,S4,total
i01,ours,5.95,0.184,5.0,49,0.84,0.45,18.0,20,1.95,460,132,20,4047
i01,best,5.7,0.189,5.0,46,0.8,0.41,15.5,20,2.35,190,127,0,3842
i02,ours,5.27,0.145,7.4,70,0.97,0.61,16.67,25,3.84,235,234,10,1444
i02,best,5.11,0.153,7.4,68,1.0,0.6,16.0,25,3.32,165,229,10,1264
i03,ours,4.77,0.179,6.5,49,0.92,0.46,19.5,19,4.38,190,670,10,10605
i03,best,4.54,0.152,6.5,49,0.88,0.45,20.0,19,4.42,120,640,5,10490
i04,ours,5.44,0.209,6.0,122,1.3,0.67,11.5,18,1.11,185,346,195,2021
i04,best,5.61,0.188,6.0,122,1.13,0.68,11.75,18,1.19,189,355,80,1884
i05,ours,5.05,0.091,5.9,170,0.65,0.42,3.17,53,5.8,110,348,10,12903
i05,best,4.85,0.069,5.9,193,0.63,0.41,3.4,53,5.8,20,335,0,12760
i06,ours,4.9,0.122,5.57,120,0.9,0.41,5.44,11,1.28,49,244,0,10696
i06,best,4.72,0.104,5.57,128,0.9,0.39,5.19,11,1.28,34,235,0,10671
i07,ours,5.22,0.177,6.08,166,1.11,0.62,9.85,54,1.66,1040,2500,220,5530
i07,best,4.63,0.195,6.08,152,0.85,0.54,8.15,54,2.33,420,2270,65,5026
i08,ours,5.92,0.102,12.43,351,1.21,0.77,4.34,36,1.47,30,1130,849,6929
i08,best,6.17,0.105,12.29,349,1.25,0.75,4.21,34,1.2,10,1159,857,6291
i09,ours,4.29,0.168,8.0,166,1.03,0.82,20.0,89,2.69,183,2360,162,7150
i09,best,4.3,0.177,8.0,164,1.07,0.83,20.0,89,2.4,180,2390,142,6682
i10,ours,5.19,0.103,14.12,167,1.12,0.81,15.44,64,4.34,1955,3110,270,21525
i10,best,5.16,0.099,14.25,167,1.0,0.79,14.78,65,4.62,1745,3100,160,20820
i11,ours,4.43,0.166,4.5,153,0.58,0.41,12.25,35,1.54,71,334,0,25966
i11,best,4.32,0.127,4.2,192,0.59,0.41,13.62,35,1.54,54,327,0,25938
i12,ours,5.76,0.174,7.67,163,1.22,0.81,13.4,18,0.76,1790,3025,905,13453
i12,best,5.41,0.187,7.67,164,1.18,0.78,12.9,18,0.68,1240,2890,640,12430
i13,ours,4.1,0.137,11.6,140,1.19,0.98,9.69,89,4.22,290,2765,344,17979
i13,best,4.23,0.132,11.8,140,1.2,0.99,9.54,91,4.42,318,2865,290,17328
i14,ours,4.72,0.167,6.05,268,1.03,0.67,6.52,48,1.28,318,3690,115,10011
i14,best,4.09,0.161,6.05,274,0.91,0.64,6.65,48,1.75,314,3250,15,9746
i15,ours,5.51,0.152,8.69,221,1.09,0.88,6.57,95,3.29,1025,4435,490,13451
i15,best,4.57,0.148,8.69,210,1.01,0.8,5.89,95,3.68,635,3765,50,12486
i16,ours,5.46,0.147,8.35,234,0.99,0.78,17.9,17,1.18,350,848,832,11485
i16,best,5.55,0.155,8.59,236,1.02,0.81,18.6,21,1.29,370,885,899,10139
i17,ours,7.07,0.074,16.22,498,1.04,0.8,10.33,270,8.09,5760,10785,650,47970
i17,best,5.5,0.074,16.5,489,1.03,0.78,9.49,275,8.11,3040,8540,270,40535
i18,ours,5.14,0.125,7.68,341,1.02,0.55,4.98,85,1.82,129,812,30,37903
i18,best,5.32,0.118,7.68,352,0.97,0.54,4.92,85,1.82,112,841,0,37660
i19,ours,7.39,0.111,11.68,611,1.14,0.71,5.81,225,3.08,3080,11420,2295,49544
i19,best,5.37,0.132,9.76,446,1.09,0.54,3.99,177,1.45,710,7105,600,44587
i20,ours,5.72,0.146,9.6,207,1.06,0.85,11.25,36,1.47,2190,923,320,30098
i20,best,5.88,0.149,9.8,210,1.08,0.88,10.69,39,1.58,2120,961,550,29098
i21,ours,6.22,0.099,12.9,438,0.96,0.83,8.42,234,4.71,2760,9180,695,28011
i21,best,4.62,0.101,12.81,416,0.97,0.75,7.09,232,5.11,1475,6865,195,24703
i22,ours,6.61,0.072,17.0,560,1.04,0.86,11.21,141,3.56,1363,11795,1180,53380
i22,best,4.74,0.072,17.3,548,1.02,0.84,10.65,147,4.23,1472,8630,50,47861
i23,ours,4.86,0.089,12.65,653,1.1,0.71,4.35,172,1.69,250,8825,1417,39230
