instance,lower_bound,relax_obj,gurobi_status
i01,3430,3430.0,OPTIMAL
i02,655,655.0,OPTIMAL
i03,9710,9710.0,OPTIMAL
i04,865,865.0,OPTIMAL
i05,12400,12400.0,OPTIMAL
i06,10390,10390.0,OPTIMAL
i07,1659,1670.0,WORK_LIMIT
i08,3440,3680.0,WORK_LIMIT
i09,2320,2385.0,WORK_LIMIT
i10,14320,14335.0,WORK_LIMIT
i11,25535,25565.0,WORK_LIMIT
i12,6635,6770.0,WORK_LIMIT
i13,7355,7460.0,WORK_LIMIT
i14,5628,5780.0,WORK_LIMIT
i15,6075,6215.0,WORK_LIMIT
i16,5615,5765.0,WORK_LIMIT
i17,20675,27065.0,WORK_LIMIT
i18,36550,36712.0,WORK_LIMIT
i19,26145,29605.0,WORK_LIMIT
i20,21887,22065.0,WORK_LIMIT
i21,10822,17779.0,WORK_LIMIT
i22,29061,35472.99993288716,WORK_LIMIT
i23,27197,27690.0,WORK_LIMIT
i24,30355,31670.0,WORK_LIMIT
i25,4605,5755.0,WORK_LIMIT
i26,43630,49150.0,WORK_LIMIT
i27,29650,60540.0,WORK_LIMIT
i28,67215,68705.0,WORK_LIMIT
i29,6645,9120.0,WORK_LIMIT
i30,21648,24218.0,WORK_LIMIT
