instance,seed,feasibility,objective,runtime_s
i01,1,feasible,4064,193.3
i01,2,feasible,4103,198.3
i01,3,feasible,4047,191.3
i01,4,feasible,4103,198.7
i01,5,feasible,4105,207.3
i02,1,feasible,1462,239.9
i02,2,feasible,1469,240.2
i02,3,feasible,1444,235.6
i02,4,feasible,1474,229.2
i02,5,feasible,1453,237.7
i03,1,feasible,10630,27.2
i03,2,feasible,10640,24.8
i03,3,feasible,10605,22.9
i03,4,feasible,10620,23.6
i03,5,feasible,10640,25.9
i04,1,feasible,2021,1249.3
i04,2,feasible,2111,1262.2
i04,3,feasible,2069,1252.6
i04,4,feasible,2181,1264.8
i04,5,feasible,2076,1248.7
i05,1,feasible,12903,897.4
i05,2,feasible,12915,1606.0
i05,3,feasible,12925,512.7
i05,4,feasible,12933,528.5
i05,5,feasible,13005,1470.2
i06,1,feasible,10700,490.1
i06,2,feasible,10696,539.3
i06,3,feasible,10698,480.5
i06,4,feasible,10700,452.6
i06,5,feasible,10696,471.9
i07,1,feasible,5650,1302.8
i07,2,feasible,5747,1219.5
i07,3,feasible,5530,1272.5
i07,4,feasible,5676,1286.2
i07,5,feasible,5882,1256.7
i08,1,feasible,7034,1333.1
i08,2,feasible,6929,1331.1
i08,3,feasible,6931,1335.6
i08,4,feasible,6947,1344.8
i08,5,feasible,6960,1326.5
i09,1,feasible,7154,1099.8
i09,2,feasible,7150,1085.9
i09,3,feasible,7168,1096.3
i09,4,feasible,7188,1069.0
i09,5,feasible,7155,1068.2
i10,1,feasible,21550,1174.1
i10,2,feasible,21525,1174.0
i10,3,feasible,21550,1186.3
i10,4,feasible,21550,1175.9
i10,5,feasible,21550,1181.3
i11,1,feasible,25966,1074.2
i11,2,feasible,25995,1128.9
i11,3,feasible,26020,1070.9
i11,4,feasible,25966,1129.7
i11,5,feasible,25972,1086.9
i12,1,feasible,13763,1143.0
i12,2,feasible,13494,1141.2
i12,3,feasible,13453,1136.6
i12,4,feasible,13522,1149.9
i12,5,feasible,13524,1161.8
i13,1,feasible,18020,1249.2
i13,2,feasible,18017,1269.5
i13,3,feasible,18023,1267.8
i13,4,feasible,18029,1273.7
i13,5,feasible,17979,1257.0
i14,1,feasible,10157,1211.0
i14,2,feasible,10011,1187.1
i14,3,feasible,10097,1232.1
i14,4,feasible,10098,1200.4
i14,5,feasible,10128,1226.2
i15,1,feasible,13677,1344.8
i15,2,feasible,14097,1334.7
i15,3,feasible,14158,1340.9
i15,4,feasible,13562,1320.3
i15,5,feasible,13451,1323.7
i16,1,feasible,11532,1315.3
i16,2,feasible,11540,1292.2
i16,3,feasible,11575,1307.8
i16,4,feasible,11485,1263.1
i16,5,feasible,11509,1282.9
i17,1,feasible,50515,1594.2
i17,2,feasible,49060,1558.2
i17,3,feasible,51240,1567.1
i17,4,feasible,47970,1597.4
i17,5,feasible,49195,1624.2
i18,1,feasible,37903,1069.3
i18,2,feasible,37959,1061.0
i18,3,feasible,38246,1070.1
i18,4,feasible,38190,1087.7
i18,5,feasible,37908,1047.3
i19,1,feasible,49606,2542.8
i19,2,feasible,50033,2579.2
i19,3,feasible,50055,2525.4
i19,4,feasible,50055,2615.2
i19,5,feasible,49544,2583.0
i20,1,feasible,30123,1269.5
i20,2,feasible,30108,1262.0
i20,3,feasible,30110,1249.6
i20,4,feasible,30098,1295.2
i20,5,feasible,30110,1258.9
i21,1,feasible,28768,1863.8
i21,2,feasible,28435,1931.7
i21,3,feasible,28611,1963.6
i21,4,feasible,28011,1904.5
i21,5,feasible,28347,1935.2
i22,1,feasible,53598,2242.6
i22,2,feasible,53576,2202.9
i22,3,feasible,53701,2221.4
i22,4,feasible,53380,2228.8
i22,5,feasible,53477,2220.5
i23,1,feasible,39405,2539.5
i23,2,feasible,39395,2479.8
i23,3,feasible,39230,2545.6
i23,4,feasible,39375,2506.8
i23,5,feasible,39265,2437.2
i24,1,feasible,34539,2136.7
i24,2,feasible,34554,2122.8
i24,3,feasible,34566,2147.3
i24,4,feasible,34476,2123.5
i24,5,feasible,34560,2139.5
i25,1,feasible,12634,1784.1
i25,2,feasible,13398,1864.9
i25,3,feasible,12796,1780.6
i25,4,feasible,12322,1756.9
i25,5,feasible,12398,1749.4
i26,1,feasible,71317,1688.1
i26,2,feasible,72064,1664.7
i26,3,feasible,71123,1663.6
i26,4,feasible,71048,1662.4
i26,5,feasible,71165,1696.2
i27,1,feasible,63896,2129.5
i27,2,feasible,62308,2136.7
i27,3,feasible,62222,2145.6
i27,4,feasible,63963,2136.2
i27,5,feasible,62654,2121.7
i28,1,feasible,76218,1336.5
i28,2,feasible,76178,1324.9
i28,3,feasible,76230,1317.8
i28,4,feasible,76176,1305.2
i28,5,feasible,76216,1323.1
i29,1,feasible,14337,2180.2
i29,2,feasible,14342,2165.0
i29,3,feasible,14287,2169.2
i29,4,feasible,14535,2155.0
i29,5,feasible,14346,2156.1
i30,1,feasible,40597,2068.6
i30,2,feasible,40743,2065.4
i30,3,feasible,40703,2019.0
i30,4,feasible,40778,1985.5
i30,5,feasible,40895,1933.7
