instance,feasibility,objective,best_known,gap_pct,runtime_s_total
i01,feasible,4047,3842,5.34,988.9
i02,feasible,1444,1264,14.24,1182.6
i03,feasible,10605,10490,1.10,124.4
i04,feasible,2021,1884,7.27,6277.6
i05,feasible,12903,12760,1.12,5014.8
i06,feasible,10696,10671,0.23,2434.4
i07,feasible,5530,5026,10.03,6337.7
i08,feasible,6929,6291,10.14,6671.1
i09,feasible,7150,6682,7.00,5419.2
i10,feasible,21525,20820,3.39,5891.6
i11,feasible,25966,25938,0.11,5490.6
i12,feasible,13453,12430,8.23,5732.5
i13,feasible,17979,17328,3.76,6317.2
i14,feasible,10011,9746,2.72,6056.8
i15,feasible,13451,12486,7.73,6664.4
i16,feasible,11485,10139,13.28,6461.3
i17,feasible,47970,40535,18.34,7941.1
i18,feasible,37903,37660,0.65,5335.4
i19,feasible,49544,44587,11.12,12845.6
i20,feasible,30098,29098,3.44,6335.2
i21,feasible,28011,24703,13.39,9598.8
i22,feasible,53380,47861,11.53,11116.2
i23,feasible,39230,37550,4.47,12508.9
i24,feasible,34476,33221,3.78,10669.8
i25,feasible,12322,11517,6.99,8935.9
i26,feasible,71048,64613,9.96,8375.0
i27,feasible,62222,51828,20.05,10669.7
i28,feasible,76176,75172,1.34,6607.5
i29,feasible,14287,12475,14.53,10825.5
i30,feasible,40597,37943,6.99,10072.2
